#,Text,Gloss,NpyFilesRoot
1546,it's important to check your blood pressure regularly,BLOOD PRESSURE CHECK REGULAR IMPORTANT,/BLOOD PRESSURE CHECK REGULAR IMPORTANT/*.npy
1547,it's important to exercise regularly,EXERCISE REGULAR IMPORTANT,/EXERCISE REGULAR IMPORTANT/*.npy
1548,it's important to follow the instructions for your inhaler,INHALER INSTRUCTIONS FOLLOW IMPORTANT,/INHALER INSTRUCTIONS FOLLOW IMPORTANT/*.npy
1549,it's important to follow the physical therapy routine,PHYSICAL THERAPY ROUTINE FOLLOW ESSENTIAL,/PHYSICAL THERAPY ROUTINE FOLLOW ESSENTIAL/*.npy
1550,it's important to get regular blood test,BLOOD TEST REGULAR GET IMPORTANT,/BLOOD TEST REGULAR GET IMPORTANT/*.npy
1551,It’s important to get regular blood tests,BLOOD TEST REGULAR GET IMPORTANT,/BLOOD TEST REGULAR GET IMPORTANT/*.npy
1552,it's important to get regular eye exams,EYE EXAMS REGULAR GET IMPORTANT,/EYE EXAMS REGULAR GET IMPORTANT/*.npy
1553,it's important to get regular skin checks for moles and spots,SKIN CHECKS REGULAR FOR MOLES SPOTS,/SKIN CHECKS REGULAR FOR MOLES SPOTS/*.npy
1554,it's important to get vaccinations before your travel,TRAVEL VACCINATIONS GET BEFORE IMPORTANT,/TRAVEL VACCINATIONS GET BEFORE IMPORTANT/*.npy
1555,it's important to have regular follow-ups to monitor your heart condition,FOLLOW-UP REGULAR HEART MONITOR IMPORTANT,/FOLLOW-UP REGULAR HEART MONITOR IMPORTANT/*.npy
1556,it's important to inform us of any changes in your family's medical history,FAMILY MEDICAL HISTORY CHANGE TELL IMPORTANT,/FAMILY MEDICAL HISTORY CHANGE TELL IMPORTANT/*.npy
1557,it's important to inform us of any changes in your health,HEALTH CHANGE ANY TELL IMPORTANT,/HEALTH CHANGE ANY TELL IMPORTANT/*.npy
1558,it's important to keep a record of your blood glucose levels,BLOOD GLUCOSE LEVELS RECORD KEEP,/BLOOD GLUCOSE LEVELS RECORD KEEP/*.npy
1559,it's important to keep the wound dry and clean,IMPORTANT KEEP WOUND DRY CLEAN,/IMPORTANT KEEP WOUND DRY CLEAN/*.npy
1560,it's important to keep us updated on any new symptoms or changes,SYMPTOM NEW UPDATE US IMPORTANT,/SYMPTOM NEW UPDATE US IMPORTANT/*.npy
1561,It's important to keep your follow-up appointments,FOLLOW-UP APPOINTMENTS KEEP IMPORTANT,/FOLLOW-UP APPOINTMENTS KEEP IMPORTANT/*.npy
1562,it's important to keep your immunizations up to date,IMMUNIZATIONS KEEP UP-TO-DATE IMPORTANT,/IMMUNIZATIONS KEEP UP-TO-DATE IMPORTANT/*.npy
1563,it's important to maintain a balanced diet,DIET BALANCED MAINTAIN IMPORTANT,/DIET BALANCED MAINTAIN IMPORTANT/*.npy
1564,It’s important to maintain a healthy and balanced diet,DIET BALANCED MAINTAIN IMPORTANT,/DIET BALANCED MAINTAIN IMPORTANT/*.npy
1565,it's important to maintain communication with us about any changes in your health,HEALTH CHANGE COMMUNICATION MAINTAIN IMPORTANT,/HEALTH CHANGE COMMUNICATION MAINTAIN IMPORTANT/*.npy
1566,it's important to maintain regular dental checkups,DENTAL CHECKUPS REGULAR MAINTAIN,/DENTAL CHECKUPS REGULAR MAINTAIN/*.npy
1567,it's important to manage your blood sugar levels,BLOOD SUGAR LEVEL MANAGE IMPORTANT,/BLOOD SUGAR LEVEL MANAGE IMPORTANT/*.npy
1568,it's important to protect your skin from sun exposure,SKIN SUN PROTECT IMPORTANT,/SKIN SUN PROTECT IMPORTANT/*.npy
1569,it's important to report any new symptoms immediately,SYMPTOM NEW REPORT IMPORTANT,/SYMPTOM NEW REPORT IMPORTANT/*.npy
1570,it's important to report any unusual or new symptoms immediately,SYMPTOM UNUSUAL NEW REPORT IMPORTANT,/SYMPTOM UNUSUAL NEW REPORT IMPORTANT/*.npy
1571,It’s important to stay hydrated when taking this medication,"MEDICATION THIS TAKE, STAY HYDRATE IMPORTANT","/MEDICATION THIS TAKE, STAY HYDRATE IMPORTANT/*.npy"
1572,it's important to stay hydrated while taking this medication,"MEDICATION THIS TAKE, STAY HYDRATE IMPORTANT","/MEDICATION THIS TAKE, STAY HYDRATE IMPORTANT/*.npy"
1573,It's important to tell us about any health changes,HEALTH CHANGE ANY TELL IMPORTANT,/HEALTH CHANGE ANY TELL IMPORTANT/*.npy
1574,it's important to us that you feel comfortable and informed about your care,CARE COMFORTABLE INFORMED FEEL IMPORTANT TO US,/CARE COMFORTABLE INFORMED FEEL IMPORTANT TO US/*.npy
1575,it's important to wear your medical alert bracelet at all times,MEDICAL ALERT BRACELET WEAR ALL-TIME IMPORTANT,/MEDICAL ALERT BRACELET WEAR ALL-TIME IMPORTANT/*.npy
1576,It’s important to wear your medical alert bracelet at all times,MEDICAL ALERT BRACELET WEAR ALL-TIME IMPORTANT,/MEDICAL ALERT BRACELET WEAR ALL-TIME IMPORTANT/*.npy
1577,Keep a record of your blood sugar levels,BLOOD GLUCOSE LEVELS RECORD KEEP,/BLOOD GLUCOSE LEVELS RECORD KEEP/*.npy
1578,Keep the wound clean and dry; it’s important,IMPORTANT KEEP WOUND DRY CLEAN,/IMPORTANT KEEP WOUND DRY CLEAN/*.npy
1579,"keep track of your symptoms in a diary, please",SYMPTOMS TRACK DIARY IN PLEASE,/SYMPTOMS TRACK DIARY IN PLEASE/*.npy
1580,Keeping your immunizations up-to-date is essential,IMMUNIZATIONS KEEP UP-TO-DATE IMPORTANT,/IMMUNIZATIONS KEEP UP-TO-DATE IMPORTANT/*.npy
1581,let me know if you need anything,NEED ANYTHING TELL ME,/NEED ANYTHING TELL ME/*.npy
1582,Let me know if you need help with the chronic pain,CHRONIC PAIN HELP NEED INFORM ME,/CHRONIC PAIN HELP NEED INFORM ME/*.npy
1583,Let us know if you have any bad reactions to the medication,"ANY BAD REACTIONS MEDICINE, CONTACT US PLEASE","/ANY BAD REACTIONS MEDICINE, CONTACT US PLEASE/*.npy"
1584,let's check your reflexes now,NOW WE CHECK YOUR REFLEX,/NOW WE CHECK YOUR REFLEX/*.npy
1585,Let’s discuss the next steps in your recovery plan,RECOVERY PLAN NEXT STEPS DISCUSS WE WILL,/RECOVERY PLAN NEXT STEPS DISCUSS WE WILL/*.npy
1586,let's discuss ways to assist you quit smoking,SMOKING QUIT HELP DISCUSS,/SMOKING QUIT HELP DISCUSS/*.npy
1587,let's discuss ways to help you quit smoking,SMOKING QUIT HELP DISCUSS,/SMOKING QUIT HELP DISCUSS/*.npy
1588,let's discuss weight management strategies,WEIGHT MANAGEMENT STRATEGIES DISCUSS,/WEIGHT MANAGEMENT STRATEGIES DISCUSS/*.npy
1589,Let’s discuss your asthma management plan,ASTHMA MANAGE PLAN DISCUSS WE WILL,/ASTHMA MANAGE PLAN DISCUSS WE WILL/*.npy
1590,Let’s discuss your progress since the last visit,LAST VISIT PROGRESS DISCUSS WE WILL,/LAST VISIT PROGRESS DISCUSS WE WILL/*.npy
1591,Let’s evaluate your mobility post-treatment,POST-TREATMENT MOBILITY EVALUATE WE WILL,/POST-TREATMENT MOBILITY EVALUATE WE WILL/*.npy
1592,Let’s review your current medication list,MEDICATION LIST CURRENT REVIEW WE WILL,/MEDICATION LIST CURRENT REVIEW WE WIL/*.npy
1593,Let’s review your progress since the procedure,PROCEDURE SINCE PROGRESS REVIEW WE WILL,/PROCEDURE SINCE PROGRESS REVIEW WE WILL/*.npy
1594,let's schedule a bone density test,BONE DENSITY TEST SCHEDULE WE WILL,/BONE DENSITY TEST SCHEDULE WE WILL/*.npy
1595,make sure to attend all scheduled therapy sessions,THERAPY SESSIONS SCHEDULED ALL ATTEND MAKE-SURE,/THERAPY SESSIONS SCHEDULED ALL ATTEND MAKE-SURE/*.npy
1596,Managing blood sugar levels is crucial,BLOOD SUGAR LEVEL MANAGE IMPORTANT,/BLOOD SUGAR LEVEL MANAGE IMPORTANT/*.npy
1597,May I have an interpreter for my appointment?,"APPOINTMENT MY, INTERPRETER HAVE CAN I?","/APPOINTMENT MY, INTERPRETER HAVE CAN I?/*.npy"
1598,My cast feels uncomfortable,"CAST MY, DISCOMFORT FEEL I","/CAST MY, DISCOMFORT FEEL I/*.npy"
1599,Now I will listen to your heart and lungs,NOW YOUR HEART LUNGS I LISTEN,/NOW YOUR HEART LUNGS I LISTEN/*.npy
1600,Now i will take your blood pressure and temperature,NOW I TAKE YOUR BLOOD-PRESSURE AND TEMPERATURE,/NOW I TAKE YOUR BLOOD-PRESSURE AND TEMPERATURE/*.npy
1601,"On a typical day, how do you rate your energy levels?",ENERGY LEVELS DAY TYPICAL RATE HOW?,/ENERGY LEVELS DAY TYPICAL RATE HOW/*.npy
1602,please avoid driving while taking this medication,"MEDICATION THIS TAKE, AVOID DRIVE","/MEDICATION THIS TAKE, AVOID DRIVE/*.npy"
1603,please avoid eating or drinking anything after midnight before your surgery,MIDNIGHT AFTER NO EAT DRINK BEFORE SURGERY,/MIDNIGHT AFTER NO EAT DRINK BEFORE SURGERY/*.npy
1604,please contact us if you experience any adverse reactions to the medication,"ANY BAD REACTIONS MEDICINE, CONTACT US PLEASE","/ANY BAD REACTIONS MEDICINE, CONTACT US PLEASE/*.npy"
1605,please give me a list of any vitamines you're taking,LIST VITAMINES YOU TAKE PLEASE GIVE-me,/LIST VITAMINES YOU TAKE PLEASE GIVE-me/*.npy
1606,please inform me if you experience any bleeding,BLEEDING EXPERIENCE INFORM ME PLEASE,/BLEEDING EXPERIENCE INFORM ME PLEASE/*.npy
1607,please inform me if you have a preferred pharmacy,PREFERRED PHARMACY YOU HAVE INFORM ME,/PREFERRED PHARMACY YOU HAVE INFORM ME/*.npy
1608,please inform me if you need assistance with the paperwork,PAPERWORK HELP NEED YOU? INFORM ME PLEASE,/PAPERWORK HELP NEED YOU? INFORM ME PLEASE/*.npy
1609,please inform me if you're experiencing any side effects,SIDE EFFECTS EXPERIENCE INFORM ME,/SIDE EFFECTS EXPERIENCE INFORM ME/*.npy
1610,please inform me if you're feeling anxious,FEEL ANXIOUS PLEASE INFORM ME,/FEEL ANXIOUS PLEASE INFORM ME/*.npy
1611,Please inform me if you’re feeling anxious,FEEL ANXIOUS PLEASE INFORM ME,/FEEL ANXIOUS PLEASE INFORM ME/*.npy
1612,please inform me if you're using any herbal remedies,HERBAL REMEDIES USE INFORM ME,/HERBAL REMEDIES USE INFORM ME/*.npy
1613,please keep track of your symptoms in this diary,SYMPTOMS TRACK DIARY IN PLEASE,/SYMPTOMS TRACK DIARY IN PLEASE/*.npy
1614,please keep your arm elevated to reduce swelling,ARM KEEP ELEVATE REDUCE SWELLING,/ARM KEEP ELEVATE REDUCE SWELLING/*.npy
1615,please keep your follow-up appointments for continuous care,FOLLOW-UP APPOINTMENTS KEEP IMPORTANT,/FOLLOW-UP APPOINTMENTS KEEP IMPORTANT/*.npy
1616,please let me know if you have a preferred pharmacy,PREFERRED PHARMACY YOU HAVE INFORM ME,/PREFERRED PHARMACY YOU HAVE INFORM ME/*.npy
1617,please let me know if you need assistance with the paperwork,PAPERWORK HELP NEED YOU? INFORM ME PLEASE,/PAPERWORK HELP NEED YOU? INFORM ME PLEASE/*.npy
1618,please let me know if you need help managing chronic pain,CHRONIC PAIN HELP NEED INFORM ME,/CHRONIC PAIN HELP NEED INFORM ME/*.npy
1619,please let us know if there's any discomfort during the tests,TEST DURING DISCOMFORT TELL US,/TEST DURING DISCOMFORT TELL US/*.npy
1620,please lie still while we do the ultrasound,ULTRASOUND DO LIE-STILL PLEASE,/ULTRASOUND DO LIE-STILL PLEASE/*.npy
1621,please lie still while we perform the ultrasound,ULTRASOUND DO LIE-STILL PLEASE,/ULTRASOUND DO LIE-STILL PLEASE/*.npy
1622,please make sure to attend all scheduled therapy sessions,THERAPY SESSIONS SCHEDULED ALL ATTEND MAKE-SURE,/THERAPY SESSIONS SCHEDULED ALL ATTEND MAKE-SURE/*.npy
1623,Please provide me with a list of vitamins you are taking,LIST VITAMINES YOU TAKE PLEASE GIVE-me,/LIST VITAMINES YOU TAKE PLEASE GIVE-me/*.npy
1624,please relax and breathe normally during the examination,"PLEASE RELAX, BREATHE NORMAL DURING EXAM","/PLEASE RELAX, BREATHE NORMAL DURING EXAM/*.npy"
1625,please remove any metal before the mri scan,"MRI SCAN BEFORE, REMOVE METAL","/MRI SCAN BEFORE, REMOVE METAL/*.npy"
1626,please remove any metal objects before the mri scan,"MRI SCAN BEFORE, REMOVE METAL","/MRI SCAN BEFORE, REMOVE METAL/*.npy"
1627,please roll up your sleeve for the blood test,"FOR BLOOD-TEST, SLEEVE ROLL-UP PLEASE","/FOR BLOOD-TEST, SLEEVE ROLL-UP PLEASE/*.npy"
1628,please sit in the waiting area,PLEASE SIT WAIT-AREA,/PLEASE SIT WAIT-AREA/*.npy
1629,please take a seat in the waiting area,PLEASE SIT WAIT-AREA,/PLEASE SIT WAIT-AREA/*.npy
1630,please take off your shirt for the examination,SHIRT TAKE-OFF FOR EXAMINATION PLEASE,/SHIRT TAKE-OFF FOR EXAMINATION PLEASE/*.npy
1631,Please tell me if you notice any bleeding,BLEEDING EXPERIENCE INFORM ME PLEASE,/BLEEDING EXPERIENCE INFORM ME PLEASE/*.npy
1632,Please wear comfortable clothes for the physical examination,"EXAMINATION PHYSICAL, WEAR COMFORTABLE CLOTHING PLEASE","/EXAMINATION PHYSICAL, WEAR COMFORTABLE CLOTHING PLEASE/*.npy"
1633,please wear comfortable clothing for the physical examination,"EXAMINATION PHYSICAL, WEAR COMFORTABLE CLOTHING PLEASE","/EXAMINATION PHYSICAL, WEAR COMFORTABLE CLOTHING PLEASE/*.npy"
1634,Regular dental checkups are essential,DENTAL CHECKUPS REGULAR MAINTAIN,/DENTAL CHECKUPS REGULAR MAINTAIN/*.npy
1635,Regular eye exams are important,EYE EXAMS REGULAR GET IMPORTANT,/EYE EXAMS REGULAR GET IMPORTANT/*.npy
1636,Regular follow-ups are important to monitor your heart,FOLLOW-UP REGULAR HEART MONITOR IMPORTANT,/FOLLOW-UP REGULAR HEART MONITOR IMPORTANT/*.npy
1637,Regular health check-ups are essential,HEALTH CHECK-UP REGULAR IMPORTANT,/HEALTH CHECK-UP REGULAR IMPORTANT/*.npy
1638,Regular health check-ups are important,HEALTH CHECK-UP REGULAR IMPORTANT,/HEALTH CHECK-UP REGULAR IMPORTANT/*.npy
1639,Regular skin checks for moles and spots,SKIN CHECKS REGULAR FOR MOLES SPOTS,/SKIN CHECKS REGULAR FOR MOLES SPOTS/*.npy
1640,"Roll up your sleeve for the blood test, please","FOR BLOOD-TEST, SLEEVE ROLL-UP PLEASE","/FOR BLOOD-TEST, SLEEVE ROLL-UP PLEASE/*.npy"
1641,Scheduling regular check-ups is recommended,CHECK-UP REGULAR SCHEDULE RECOMMEND,/CHECK-UP REGULAR SCHEDULE RECOMMEND/*.npy
1642,Should I avoid any food while taking this medication?,MEDICATION TAKE FOOD AVOID SHOULD?,/MEDICATION TAKE FOOD AVOID SHOULD/*.npy
1643,should i be concerned about these symptoms?,THESE SYMPTOMS WORRY SHOULD I?,/THESE SYMPTOMS WORRY SHOULD I?/*.npy
1644,Should I follow a diet for my condition?,"MY CONDITION, DIET FOLLOW SHOULD?","/MY CONDITION, DIET FOLLOW SHOULD?/*.npy"
1645,should i worry about these symptoms?,THESE SYMPTOMS WORRY SHOULD I?,/THESE SYMPTOMS WORRY SHOULD I?/*.npy
1646,Should you be doing certain activities more or less frequently?,ACTIVITY SPECIFIC MORE LESS DO SHOULD?,/ACTIVITY SPECIFIC MORE LESS DO SHOULD?/*.npy
1647,show me how to  care for their wound,"WOUND CARE HOW, SHOW ME","/WOUND CARE HOW, SHOW ME/*.npy"
1648,"take off your shirt for the examination, please",SHIRT TAKE-OFF FOR EXAMINATION PLEASE,/SHIRT TAKE-OFF FOR EXAMINATION PLEASE/*.npy
1649,take this medication with meals to avoid stomach upset,THIS MEDICINE TAKE WITH FOOD AVOID STOMACH UPSET,/THIS MEDICINE TAKE WITH FOOD AVOID STOMACH UPSET/*.npy
1650,Tell me if you need anything,NEED ANYTHING TELL ME,/NEED ANYTHING TELL ME/*.npy
1651,tell me more about the pain you're experiencing,PAIN DESCRIBE MORE CAN YOU?,/PAIN DESCRIBE MORE CAN YOU?/*.npy
1652,tell us if there's discomfort during the tests,TEST DURING DISCOMFORT TELL US,/TEST DURING DISCOMFORT TELL US/*.npy
1653,This medication and alcohol might interact so please avoid drinking,"MEDICATION THIS, ALCOHOL INTERACT, DRINKING AVOID PLEASE","/MEDICATION THIS, ALCOHOL INTERACT, DRINKING AVOID PLEASE/*.npy"
1654,"this medication may cause drowsiness, so avoid driving","MEDICATION THIS MAYBE CAUSE SLEEPY, AVOID DRIVE","/MEDICATION THIS MAYBE CAUSE SLEEPY, AVOID DRIVE/*.npy"
1655,This medication may interact with alcohol; please avoid drinking,"MEDICATION THIS, ALCOHOL INTERACT, DRINKING AVOID PLEASE","/MEDICATION THIS, ALCOHOL INTERACT, DRINKING AVOID PLEASE/*.npy"
1656,This medication might cause sleepiness; avoid driving,"MEDICATION THIS MAYBE CAUSE SLEEPY, AVOID DRIVE","/MEDICATION THIS MAYBE CAUSE SLEEPY, AVOID DRIVE/*.npy"
1657,this ointment should be applied twice daily,OINTMENT APPLY TWICE DAILY,/OINTMENT APPLY TWICE DAILY/*.npy
1658,this prescription must to be renewed in a month,THIS PRESCRIPTION RENEW NEED ONE MONTH AFTER,/THIS PRESCRIPTION RENEW NEED ONE MONTH AFTER/*.npy
1659,this prescription will need to be renewed after one month,THIS PRESCRIPTION RENEW NEED ONE MONTH AFTER,/THIS PRESCRIPTION RENEW NEED ONE MONTH AFTER/*.npy
1660,this vaccination is important for your travel,VACCINATION IMPORTANT FOR YOUR TRAVEL,/VACCINATION IMPORTANT FOR YOUR TRAVEL/*.npy
1661,this vaccination is important for your travel destination,VACCINATION IMPORTANT FOR YOUR TRAVEL,/VACCINATION IMPORTANT FOR YOUR TRAVEL/*.npy
1662,"to avoid stomach upset, take this medication with food ",THIS MEDICINE TAKE WITH FOOD AVOID STOMACH UPSET,/THIS MEDICINE TAKE WITH FOOD AVOID STOMACH UPSET/*.npy
1663,To ensure I understand everything can you explain that again?,"UNDERSTAND EVERYTHING ENSURE, EXPLAIN AGAIN CAN YOU?","/UNDERSTAND EVERYTHING ENSURE, EXPLAIN AGAIN CAN YOU?/*.npy"
1664,"To reduce swelling, keep your arm raised",ARM KEEP ELEVATE REDUCE SWELLING,/ARM KEEP ELEVATE REDUCE SWELLING/*.npy
1665,Today I have an appointment,I HAVE APPOINTMENT TODAY,/I HAVE APPOINTMENT TODAY/*.npy
1666,We are going to perform an allergy test on your skin,ALLERGY SKIN TEST DO WILL,/ALLERGY SKIN TEST DO WILL/*.npy
1667,we have a patient website where you can access your test results,"PATIENT WEBSITE HAVE, YOUR TEST RESULTS ACCESS CAN","/PATIENT WEBSITE HAVE, YOUR TEST RESULTS ACCESS CAN/*.npy"
1668,we have a patient website where your test results can be accessed,"PATIENT WEBSITE HAVE, YOUR TEST RESULTS ACCESS CAN","/PATIENT WEBSITE HAVE, YOUR TEST RESULTS ACCESS CAN/*.npy"
1669,we have a small waiting period,WE HAVE LITTLE WAIT,/WE HAVE LITTLE WAIT/*.npy
1670,we have a variety of pain management options available,PAIN MANAGEMENT OPTIONS VARIOUS HAVE,/PAIN MANAGEMENT OPTIONS VARIOUS HAVE/*.npy
1671,we have a various pain management options,PAIN MANAGEMENT OPTIONS VARIOUS HAVE,/PAIN MANAGEMENT OPTIONS VARIOUS HAVE/*.npy
1672,we have to wait a little,WE HAVE LITTLE WAIT,/WE HAVE LITTLE WAIT/*.npy
1673,We must adjust your medication dosage,MEDICATION DOSE ADJUST NEED,/MEDICATION DOSE ADJUST NEED/*.npy
1674,We must check your cholesterol levels,CHOLESTEROL LEVELS CHECK NEED,/CHOLESTEROL LEVELS CHECK NEED/*.npy
1675,We must evaluate your risk for heart disease,HEART DISEASE RISK EVALUATE NEED,/HEART DISEASE RISK EVALUATE NEED/*.npy
1676,We must monitor your heart rate and rhythm,HEART RATE RHYTHM MONITOR NEED WE,/HEART RATE RHYTHM MONITOR NEED WE/*.npy
1677,we must take a few x-rays,X-RAYS FEW TAKE NEED WE,/X-RAYS FEW TAKE NEED WE/*.npy
1678,we must update your contact information in our records,WE NEED UPDATE YOUR CONTACT INFORMATION OUR RECORD,/WE NEED UPDATE YOUR CONTACT INFORMATION OUR RECORD/*.npy
1679,we need a urine sample for the test,URINE SAMPLE WE NEED FOR TEST,/URINE SAMPLE WE NEED FOR TEST/*.npy
1680,we need check that the treatment plan is effective and appropriate,TREATMENT PLAN EFFECTIVE APPROPRIATE CHECK NEED,/TREATMENT PLAN EFFECTIVE APPROPRIATE CHECK NEED/*.npy
1681,we need to adjust your medication dosage,MEDICATION DOSE ADJUST NEED,/MEDICATION DOSE ADJUST NEED/*.npy
1682,we need to assess the risk factors,RISK FACTORS ASSESS NEED,/RISK FACTORS ASSESS NEED/*.npy
1683,we need to check that your current treatments do not conflict with each other,TREATMENT CURRENT CONFLICT CHECK NEED,/TREATMENT CURRENT CONFLICT CHECK NEED/*.npy
1684,we need to check the healing process of your wound,WOUND HEALING CHECK NEED,/WOUND HEALING CHECK NEED/*.npy
1685,We need to check the insurance coverage for this medication,MEDICATION THIS INSURANCE COVERAGE WE NEED CHECK,/MEDICATION THIS INSURANCE COVERAGE WE NEED CHECK/*.npy
1686,we need to check the wound healing process,WOUND HEALING CHECK NEED,/WOUND HEALING CHECK NEED/*.npy
1687,we need to check your balance and coordination,BALANCE COORDINATION CHECK NEED,/BALANCE COORDINATION CHECK NEED/*.npy
1688,we need to check your cholesterol levels,CHOLESTEROL LEVELS CHECK NEED,/CHOLESTEROL LEVELS CHECK NEED/*.npy
1689,we need to check your eyesight and hearing,EYESIGHT HEARING CHECK NEED,/EYESIGHT HEARING CHECK NEED/*.npy
1690,We need to check your hearing and eyesight,EYESIGHT HEARING CHECK NEED,/EYESIGHT HEARING CHECK NEED/*.npy
1691,we need to check your insurance coverage for this medication,MEDICATION THIS INSURANCE COVERAGE WE NEED CHECK,/MEDICATION THIS INSURANCE COVERAGE WE NEED CHECK/*.npy
1692,we need to discuss birth control options,BIRTH CONTROL OPTIONS DISCUSS,/BIRTH CONTROL OPTIONS DISCUSS/*.npy
1693,we need to discuss options for managing high blood pressure,HIGH BLOOD PRESSURE MANAGE OPTIONS DISCUSS,/HIGH BLOOD PRESSURE MANAGE OPTIONS DISCUSS/*.npy
1694,we need to discuss potential risks and benefits of this treatment,TREATMENT RISKS BENEFITS DISCUSS NEED,/TREATMENT RISKS BENEFITS DISCUSS NEED/*.npy
1695,we need to discuss strategies for weight management,WEIGHT MANAGEMENT STRATEGIES DISCUSS,/WEIGHT MANAGEMENT STRATEGIES DISCUSS/*.npy
1696,we need to discuss the importance of mental health,MENTAL HEALTH IMPORTANCE DISCUSS,/MENTAL HEALTH IMPORTANCE DISCUSS/*.npy
1697,we need to discuss the importance of regular mammograms,MAMMOGRAMS REGULAR IMPORTANCE DISCUSS,/MAMMOGRAMS REGULAR IMPORTANCE DISCUSS/*.npy
1698,we need to discuss the potential risks associated with this surgery,SURGERY RISK DISCUSS NEED,/SURGERY RISK DISCUSS NEED/*.npy
1699,we need to discuss the surgery risks,SURGERY RISK DISCUSS NEED,/SURGERY RISK DISCUSS NEED/*.npy
1700,we need to discuss the treatment risks and benefits,TREATMENT RISKS BENEFITS DISCUSS NEED,/TREATMENT RISKS BENEFITS DISCUSS NEED/*.npy
1701,we need to discuss your caffeine and tobacco use,CAFFEINE TOBACCO USE DISCUSS,/CAFFEINE TOBACCO USE DISCUSS/*.npy
1702,we need to discuss your exposure to environmental toxins,ENVIRONMENTAL TOXINS EXPOSURE DISCUSS,/ENVIRONMENTAL TOXINS EXPOSURE DISCUSS/*.npy
1703,we need to discuss your family's medical history,FAMILY MEDICAL HISTORY DISCUSS NEED,/FAMILY MEDICAL HISTORY DISCUSS NEED/*.npy
1704,we need to discuss your smoking habits,SMOKING HABITS DISCUSS NEED,/SMOKING HABITS DISCUSS NEED/*.npy
1705,We need to do a more tests to confirm the diagnosis,MORE TESTS DO NEED CONFIRM DIAGNOSIS,/MORE TESTS DO NEED CONFIRM DIAGNOSIS/*.npy
1706,we need to do routine blood tests today,TODAY BLOOD TEST ROUTINE NEED WE,/TODAY BLOOD TEST ROUTINE NEED WE/*.npy
1707,we need to do routine checks before your procedure,PROCEDURE BEFORE CHECK ROUTINE NEED,/PROCEDURE BEFORE CHECK ROUTINE NEED/*.npy
1708,we need to ensure your current treatments aren't conflicting with each other,TREATMENT CURRENT CONFLICT CHECK NEED,/TREATMENT CURRENT CONFLICT CHECK NEED/*.npy
1709,we need to ensure your treatment plan is still effective and appropriate,TREATMENT PLAN EFFECTIVE APPROPRIATE CHECK NEED,/TREATMENT PLAN EFFECTIVE APPROPRIATE CHECK NEED/*.npy
1710,We need to evaluate your bone health and fracture risk,BONE HEALTH FRACTURE RISK EVALUATE NEED,/BONE HEALTH FRACTURE RISK EVALUATE NEED/*.npy
1711,we need to evaluate your bone health and risk for fractures,BONE HEALTH FRACTURE RISK EVALUATE NEED,/BONE HEALTH FRACTURE RISK EVALUATE NEED/*.npy
1712,we need to evaluate your lung function,LUNG FUNCTION EVALUATE NEED,/LUNG FUNCTION EVALUATE NEED/*.npy
1713,we need to evaluate your risk for heart disease,HEART DISEASE RISK EVALUATE NEED,/HEART DISEASE RISK EVALUATE NEED/*.npy
1714,we need to evaluate your risk for stroke,STROKE RISK EVALUATE NEED,/STROKE RISK EVALUATE NEED/*.npy
1715,We need to monitor how your kidneys functioning,KIDNEY FUNCTION MONITOR NEED,/KIDNEY FUNCTION MONITOR NEED/*.npy
1716,we need to monitor your blood pressure levels,BLOOD PRESSURE LEVELS MONITOR NEED,/BLOOD PRESSURE LEVELS MONITOR NEED/*.npy
1717,we need to monitor your heart rate and rhythm,HEART RATE RHYTHM MONITOR NEED WE,/HEART RATE RHYTHM MONITOR NEED WE/*.npy
1718,we need to monitor your kidney function,KIDNEY FUNCTION MONITOR NEED,/KIDNEY FUNCTION MONITOR NEED/*.npy
1719,we need to monitor your liver function,LIVER FUNCTION MONITOR NEED,/LIVER FUNCTION MONITOR NEED/*.npy
1720,we need to monitor your thyroid levels,THYROID LEVELS MONITOR,/THYROID LEVELS MONITOR/*.npy
1721,we need to perform some routine checks before your procedure,PROCEDURE BEFORE CHECK ROUTINE NEED,/PROCEDURE BEFORE CHECK ROUTINE NEED/*.npy
1722,we need to review the vaccination history,VACCINATION HISTORY REVIEW NEED,/VACCINATION HISTORY REVIEW NEED/*.npy
1723,we need to review your current medication list for any potential interactions,MEDICATION LIST REVIEW INTERACTION CHECK NEED,/MEDICATION LIST REVIEW INTERACTION CHECK NEED/*.npy
1724,we need to schedule a follow-up appointment to monitor your progress,NEED SCHEDULE FOLLOW-UP APPOINTMENT MONITOR PROGRESS,/NEED SCHEDULE FOLLOW-UP APPOINTMENT MONITOR PROGRESS/*.npy
1725,we need to take a few x-rays,X-RAYS FEW TAKE NEED WE,/X-RAYS FEW TAKE NEED WE/*.npy
1726,We need to talk about your family’s medical history,FAMILY MEDICAL HISTORY DISCUSS NEED,/FAMILY MEDICAL HISTORY DISCUSS NEED/*.npy
1727,we need to update your contact information in our records,WE NEED UPDATE YOUR CONTACT INFORMATION OUR RECORD,/WE NEED UPDATE YOUR CONTACT INFORMATION OUR RECORD/*.npy
1728,We need to update your emergency contact details,EMERGENCY CONTACT UPDATE NEED,/EMERGENCY CONTACT UPDATE NEED/*.npy
1729,we need to update your emergency contact information,EMERGENCY CONTACT UPDATE NEED,/EMERGENCY CONTACT UPDATE NEED/*.npy
